Registration Option,MIST ID,Category I: Knowledge and Quran,Category II: Arts,Category III: Writing and Oratory,Category IV: Brackets,Category V: Group Projects,Category VI: Sports,Category VII: eSports
Competitor,A85Q9-47UO7,,,,MIST Quiz Bowl,,Basketball - Male,**FIFA 2020 (PS4 + XBOX) - DC**
Competitor,A85Q9-1TFJO,Knowledge Test 1,,,,,Basketball - Male,
Competitor,CUMBQ-OZGCY,,Photography,,,,Basketball - Female,
Competitor,A85Q9-61URV,Knowledge Test 1,,,,,Basketball - Male,
Competitor,A85Q9-AHVQ9,Knowledge Test 2,,,,,Basketball - Male,
Competitor,A85Q9-ZZWYU,,,,,Short Film,,
Competitor,A85Q9-PAKVK,,,Extemporaneous Essay,,,**Soccer [DC]** - Female,
Competitor,A85Q9-998OL,Knowledge Test 2,,,,,Basketball - Male,
Competitor,A85Q9-W7A5V,,**Culinary Arts [2 max]**,,,Short Film,,
Competitor,Y0J9Q-QZMSD,,3D Art,,MIST Quiz Bowl,,Basketball - Female,
Competitor,A85Q9-PXBGV,,,,,,,
Competitor,A85Q9-0KXNI,,,,,,Basketball - Male (waitlisted),
Competitor,A85Q9-F70Q9,,,,,,,
Competitor,A85Q9-R70Q6,,,,,,Basketball - Male (waitlisted),
Competitor,A85Q9-IHGHG,,,,,,Basketball - Male (waitlisted),
Competitor,CUMBQ-2PFGY,,,,Improv - Female,,Basketball - Female,
Competitor,A85Q9-EH52I,,,,,,,
Competitor,616EC-LSC0K,,,,,,**Soccer [DC]** - Male (waitlisted),
Competitor,A85Q9-4ZC2V,Knowledge Test 2,,,,,Basketball - Male,
Competitor,A85Q9-OI5EH,,,,,Short Film,,
Competitor,616EC-7458W,,,Extemporaneous Essay,,,Basketball - Female,
Competitor,A85Q9-46O8I,,,,,Short Film,,
Competitor,A85Q9-WWMJZ,,,,MIST Quiz Bowl,,,
Competitor,A85Q9-RF586,,,,,,,
Competitor,A85Q9-JRGKN,,,,,,,
Competitor,Y0J9Q-88UAA,Quran Memorization - Level 3 - Female,Photography,,,,,
Competitor,Y0J9Q-2P1KZ,,Fashion Design,,,,Basketball - Male,
